"sales1_name","chan1_name","dma1_name","dma2_name"
"Product A","DRTV","Albany","Tier 4"
"Product A","DRTV","Baltimore","Tier 3"
"Product A","DRTV","Boston","Tier 2"
"Product A","DRTV","Buffalo","Tier 4"
"Product A","DRTV","Harrisburg","Tier 4"
"Product A","DRTV","New York","Tier 1"
"Product A","DRTV","Norfolk","Tier 3"
"Product A","DRTV","Palm Springs","Tier 4"
"Product A","DRTV","Philadelphia","Tier 1"
"Product A","DRTV","Pittsburgh","Tier 3"
"Product A","DRTV","Providence","Tier 3"
"Product A","DRTV","Richmond","Tier 3"
"Product A","DRTV","Syracuse","Tier 4"
"Product A","DRTV","Tampa","Tier 2"
"Product A","DRTV","Washington, DC","Tier 2"
"Product A","Direct Mail","Albany","Tier 4"
"Product A","Direct Mail","Baltimore","Tier 3"
"Product A","Direct Mail","Boston","Tier 2"
"Product A","Direct Mail","Buffalo","Tier 4"
"Product A","Direct Mail","Dallas","Tier 3"
"Product A","Direct Mail","Harrisburg","Tier 4"
"Product A","Direct Mail","Los Angeles","Tier 2"
"Product A","Direct Mail","New York","Tier 1"
"Product A","Direct Mail","Norfolk","Tier 3"
"Product A","Direct Mail","Other","Tier 4"
"Product A","Direct Mail","Palm Springs","Tier 4"
"Product A","Direct Mail","Philadelphia","Tier 1"
"Product A","Direct Mail","Pittsburgh","Tier 3"
"Product A","Direct Mail","Providence","Tier 3"
"Product A","Direct Mail","Richmond","Tier 3"
"Product A","Direct Mail","Syracuse","Tier 4"
"Product A","Direct Mail","Tampa","Tier 2"
"Product A","Direct Mail","Washington, DC","Tier 2"
"Product A","Hispanic - DM","Albany","Tier 4"
"Product A","Hispanic - DM","Baltimore","Tier 3"
"Product A","Hispanic - DM","Boston","Tier 2"
"Product A","Hispanic - DM","Buffalo","Tier 4"
"Product A","Hispanic - DM","Dallas","Tier 3"
"Product A","Hispanic - DM","Harrisburg","Tier 4"
"Product A","Hispanic - DM","Los Angeles","Tier 2"
"Product A","Hispanic - DM","New York","Tier 1"
"Product A","Hispanic - DM","Norfolk","Tier 3"
"Product A","Hispanic - DM","Other","Tier 4"
"Product A","Hispanic - DM","Palm Springs","Tier 4"
"Product A","Hispanic - DM","Philadelphia","Tier 1"
"Product A","Hispanic - DM","Pittsburgh","Tier 3"
"Product A","Hispanic - DM","Providence","Tier 3"
"Product A","Hispanic - DM","Richmond","Tier 3"
"Product A","Hispanic - DM","Syracuse","Tier 4"
"Product A","Hispanic - DM","Tampa","Tier 2"
"Product A","Hispanic - DM","Washington, DC","Tier 2"
"Product A","Hispanic - DRTV","New York","Tier 1"
"Product A","Hispanic - DRTV","Washington, DC","Tier 2"
"Product A","Hispanic - Display","Boston","Tier 2"
"Product A","Hispanic - Display","Dallas","Tier 3"
"Product A","Hispanic - Display","Los Angeles","Tier 2"
"Product A","Hispanic - Display","New York","Tier 1"
"Product A","Hispanic - Display","Philadelphia","Tier 1"
"Product A","Hispanic - Display","Tampa","Tier 2"
"Product A","Hispanic - Display","Washington, DC","Tier 2"
"Product A","Hispanic - Radio","Los Angeles","Tier 2"
"Product A","Hispanic - Radio","New York","Tier 1"
"Product A","Hispanic - TV","New York","Tier 1"
"Product A","Newspaper","Albany","Tier 4"
"Product A","Newspaper","Baltimore","Tier 3"
"Product A","Newspaper","Boston","Tier 2"
"Product A","Newspaper","Buffalo","Tier 4"
"Product A","Newspaper","Harrisburg","Tier 4"
"Product A","Newspaper","New York","Tier 1"
"Product A","Newspaper","Other","Tier 4"
"Product A","Newspaper","Philadelphia","Tier 1"
"Product A","Newspaper","Providence","Tier 3"
"Product A","Newspaper","Syracuse","Tier 4"
"Product A","Newspaper","Washington, DC","Tier 2"
"Product A","OLV","Albany","Tier 4"
"Product A","OLV","Baltimore","Tier 3"
"Product A","OLV","Boston","Tier 2"
"Product A","OLV","Buffalo","Tier 4"
"Product A","OLV","Dallas","Tier 3"
"Product A","OLV","Harrisburg","Tier 4"
"Product A","OLV","Los Angeles","Tier 2"
"Product A","OLV","New York","Tier 1"
"Product A","OLV","Norfolk","Tier 3"
"Product A","OLV","Other","Tier 4"
"Product A","OLV","Palm Springs","Tier 4"
"Product A","OLV","Philadelphia","Tier 1"
"Product A","OLV","Pittsburgh","Tier 3"
"Product A","OLV","Providence","Tier 3"
"Product A","OLV","Richmond","Tier 3"
"Product A","OLV","Syracuse","Tier 4"
"Product A","OLV","Tampa","Tier 2"
"Product A","OLV","Washington, DC","Tier 2"
"Product A","OOH","Dallas","Tier 3"
"Product A","OOH","Los Angeles","Tier 2"
"Product A","OOH","New York","Tier 1"
"Product A","OOH","Philadelphia","Tier 1"
"Product A","OOH","Tampa","Tier 2"
"Product A","OOH","Washington, DC","Tier 2"
"Product A","Online Display","Albany","Tier 4"
"Product A","Online Display","Baltimore","Tier 3"
"Product A","Online Display","Boston","Tier 2"
"Product A","Online Display","Buffalo","Tier 4"
"Product A","Online Display","Dallas","Tier 3"
"Product A","Online Display","Harrisburg","Tier 4"
"Product A","Online Display","Los Angeles","Tier 2"
"Product A","Online Display","New York","Tier 1"
"Product A","Online Display","Norfolk","Tier 3"
"Product A","Online Display","Other","Tier 4"
"Product A","Online Display","Palm Springs","Tier 4"
"Product A","Online Display","Philadelphia","Tier 1"
"Product A","Online Display","Pittsburgh","Tier 3"
"Product A","Online Display","Providence","Tier 3"
"Product A","Online Display","Richmond","Tier 3"
"Product A","Online Display","Syracuse","Tier 4"
"Product A","Online Display","Tampa","Tier 2"
"Product A","Online Display","Washington, DC","Tier 2"
"Product A","Radio","Baltimore","Tier 3"
"Product A","Radio","Boston","Tier 2"
"Product A","Radio","Los Angeles","Tier 2"
"Product A","Radio","New York","Tier 1"
"Product A","Radio","Norfolk","Tier 3"
"Product A","Radio","Other","Tier 4"
"Product A","Radio","Palm Springs","Tier 4"
"Product A","Radio","Philadelphia","Tier 1"
"Product A","Radio","Pittsburgh","Tier 3"
"Product A","Radio","Providence","Tier 3"
"Product A","Radio","Richmond","Tier 3"
"Product A","Radio","Syracuse","Tier 4"
"Product A","Radio","Tampa","Tier 2"
"Product A","Radio","Washington, DC","Tier 2"
"Product A","TV Cable","Albany","Tier 4"
"Product A","TV Cable","Baltimore","Tier 3"
"Product A","TV Cable","Boston","Tier 2"
"Product A","TV Cable","Buffalo","Tier 4"
"Product A","TV Cable","Dallas","Tier 3"
"Product A","TV Cable","Harrisburg","Tier 4"
"Product A","TV Cable","Los Angeles","Tier 2"
"Product A","TV Cable","New York","Tier 1"
"Product A","TV Cable","Palm Springs","Tier 4"
"Product A","TV Cable","Philadelphia","Tier 1"
"Product A","TV Cable","Pittsburgh","Tier 3"
"Product A","TV Cable","Providence","Tier 3"
"Product A","TV Cable","Richmond","Tier 3"
"Product A","TV Cable","Syracuse","Tier 4"
"Product A","TV Cable","Washington, DC","Tier 2"
"Product A","TV Spot","Baltimore","Tier 3"
"Product A","TV Spot","Boston","Tier 2"
"Product A","TV Spot","New York","Tier 1"
"Product A","TV Spot","Norfolk","Tier 3"
"Product A","TV Spot","Palm Springs","Tier 4"
"Product A","TV Spot","Philadelphia","Tier 1"
"Product A","TV Spot","Pittsburgh","Tier 3"
"Product A","TV Spot","Providence","Tier 3"
"Product A","TV Spot","Richmond","Tier 3"
"Product A","TV Spot","Syracuse","Tier 4"
"Product A","TV Spot","Tampa","Tier 2"
"Product A","TV Spot","Washington, DC","Tier 2"
"Product B","DRTV","Albany","Tier 4"
"Product B","DRTV","Baltimore","Tier 3"
"Product B","DRTV","Boston","Tier 2"
"Product B","DRTV","Buffalo","Tier 4"
"Product B","DRTV","Harrisburg","Tier 4"
"Product B","DRTV","New York","Tier 1"
"Product B","DRTV","Norfolk","Tier 3"
"Product B","DRTV","Palm Springs","Tier 4"
"Product B","DRTV","Philadelphia","Tier 1"
"Product B","DRTV","Pittsburgh","Tier 3"
"Product B","DRTV","Providence","Tier 3"
"Product B","DRTV","Richmond","Tier 3"
"Product B","DRTV","Syracuse","Tier 4"
"Product B","DRTV","Tampa","Tier 2"
"Product B","DRTV","Washington, DC","Tier 2"
"Product B","Direct Mail","Albany","Tier 4"
"Product B","Direct Mail","Baltimore","Tier 3"
"Product B","Direct Mail","Boston","Tier 2"
"Product B","Direct Mail","Buffalo","Tier 4"
"Product B","Direct Mail","Dallas","Tier 3"
"Product B","Direct Mail","Harrisburg","Tier 4"
"Product B","Direct Mail","Los Angeles","Tier 2"
"Product B","Direct Mail","New York","Tier 1"
"Product B","Direct Mail","Norfolk","Tier 3"
"Product B","Direct Mail","Other","Tier 4"
"Product B","Direct Mail","Palm Springs","Tier 4"
"Product B","Direct Mail","Philadelphia","Tier 1"
"Product B","Direct Mail","Pittsburgh","Tier 3"
"Product B","Direct Mail","Providence","Tier 3"
"Product B","Direct Mail","Richmond","Tier 3"
"Product B","Direct Mail","Syracuse","Tier 4"
"Product B","Direct Mail","Tampa","Tier 2"
"Product B","Direct Mail","Washington, DC","Tier 2"
"Product B","Hispanic - DM","Albany","Tier 4"
"Product B","Hispanic - DM","Baltimore","Tier 3"
"Product B","Hispanic - DM","Boston","Tier 2"
"Product B","Hispanic - DM","Buffalo","Tier 4"
"Product B","Hispanic - DM","Dallas","Tier 3"
"Product B","Hispanic - DM","Harrisburg","Tier 4"
"Product B","Hispanic - DM","Los Angeles","Tier 2"
"Product B","Hispanic - DM","New York","Tier 1"
"Product B","Hispanic - DM","Norfolk","Tier 3"
"Product B","Hispanic - DM","Other","Tier 4"
"Product B","Hispanic - DM","Palm Springs","Tier 4"
"Product B","Hispanic - DM","Philadelphia","Tier 1"
"Product B","Hispanic - DM","Pittsburgh","Tier 3"
"Product B","Hispanic - DM","Providence","Tier 3"
"Product B","Hispanic - DM","Richmond","Tier 3"
"Product B","Hispanic - DM","Syracuse","Tier 4"
"Product B","Hispanic - DM","Tampa","Tier 2"
"Product B","Hispanic - DM","Washington, DC","Tier 2"
"Product B","Hispanic - DRTV","New York","Tier 1"
"Product B","Hispanic - DRTV","Washington, DC","Tier 2"
"Product B","Hispanic - Display","Boston","Tier 2"
"Product B","Hispanic - Display","Dallas","Tier 3"
"Product B","Hispanic - Display","Los Angeles","Tier 2"
"Product B","Hispanic - Display","New York","Tier 1"
"Product B","Hispanic - Display","Philadelphia","Tier 1"
"Product B","Hispanic - Display","Tampa","Tier 2"
"Product B","Hispanic - Display","Washington, DC","Tier 2"
"Product B","Hispanic - Radio","Los Angeles","Tier 2"
"Product B","Hispanic - Radio","New York","Tier 1"
"Product B","Hispanic - TV","New York","Tier 1"
"Product B","Newspaper","Albany","Tier 4"
"Product B","Newspaper","Baltimore","Tier 3"
"Product B","Newspaper","Boston","Tier 2"
"Product B","Newspaper","Buffalo","Tier 4"
"Product B","Newspaper","Harrisburg","Tier 4"
"Product B","Newspaper","New York","Tier 1"
"Product B","Newspaper","Other","Tier 4"
"Product B","Newspaper","Philadelphia","Tier 1"
"Product B","Newspaper","Providence","Tier 3"
"Product B","Newspaper","Syracuse","Tier 4"
"Product B","Newspaper","Washington, DC","Tier 2"
"Product B","OLV","Albany","Tier 4"
"Product B","OLV","Baltimore","Tier 3"
"Product B","OLV","Boston","Tier 2"
"Product B","OLV","Buffalo","Tier 4"
"Product B","OLV","Dallas","Tier 3"
"Product B","OLV","Harrisburg","Tier 4"
"Product B","OLV","Los Angeles","Tier 2"
"Product B","OLV","New York","Tier 1"
"Product B","OLV","Norfolk","Tier 3"
"Product B","OLV","Other","Tier 4"
"Product B","OLV","Palm Springs","Tier 4"
"Product B","OLV","Philadelphia","Tier 1"
"Product B","OLV","Pittsburgh","Tier 3"
"Product B","OLV","Providence","Tier 3"
"Product B","OLV","Richmond","Tier 3"
"Product B","OLV","Syracuse","Tier 4"
"Product B","OLV","Tampa","Tier 2"
"Product B","OLV","Washington, DC","Tier 2"
"Product B","OOH","Dallas","Tier 3"
"Product B","OOH","Los Angeles","Tier 2"
"Product B","OOH","New York","Tier 1"
"Product B","OOH","Philadelphia","Tier 1"
"Product B","OOH","Tampa","Tier 2"
"Product B","OOH","Washington, DC","Tier 2"
"Product B","Online Display","Albany","Tier 4"
"Product B","Online Display","Baltimore","Tier 3"
"Product B","Online Display","Boston","Tier 2"
"Product B","Online Display","Buffalo","Tier 4"
"Product B","Online Display","Dallas","Tier 3"
"Product B","Online Display","Harrisburg","Tier 4"
"Product B","Online Display","Los Angeles","Tier 2"
"Product B","Online Display","New York","Tier 1"
"Product B","Online Display","Norfolk","Tier 3"
"Product B","Online Display","Other","Tier 4"
"Product B","Online Display","Palm Springs","Tier 4"
"Product B","Online Display","Philadelphia","Tier 1"
"Product B","Online Display","Pittsburgh","Tier 3"
"Product B","Online Display","Providence","Tier 3"
"Product B","Online Display","Richmond","Tier 3"
"Product B","Online Display","Syracuse","Tier 4"
"Product B","Online Display","Tampa","Tier 2"
"Product B","Online Display","Washington, DC","Tier 2"
"Product B","Radio","Baltimore","Tier 3"
"Product B","Radio","Boston","Tier 2"
"Product B","Radio","Los Angeles","Tier 2"
"Product B","Radio","New York","Tier 1"
"Product B","Radio","Norfolk","Tier 3"
"Product B","Radio","Other","Tier 4"
"Product B","Radio","Palm Springs","Tier 4"
"Product B","Radio","Philadelphia","Tier 1"
"Product B","Radio","Pittsburgh","Tier 3"
"Product B","Radio","Providence","Tier 3"
"Product B","Radio","Richmond","Tier 3"
"Product B","Radio","Syracuse","Tier 4"
"Product B","Radio","Tampa","Tier 2"
"Product B","Radio","Washington, DC","Tier 2"
"Product B","TV Cable","Albany","Tier 4"
"Product B","TV Cable","Baltimore","Tier 3"
"Product B","TV Cable","Boston","Tier 2"
"Product B","TV Cable","Buffalo","Tier 4"
"Product B","TV Cable","Dallas","Tier 3"
"Product B","TV Cable","Harrisburg","Tier 4"
"Product B","TV Cable","Los Angeles","Tier 2"
"Product B","TV Cable","New York","Tier 1"
"Product B","TV Cable","Palm Springs","Tier 4"
"Product B","TV Cable","Philadelphia","Tier 1"
"Product B","TV Cable","Pittsburgh","Tier 3"
"Product B","TV Cable","Providence","Tier 3"
"Product B","TV Cable","Richmond","Tier 3"
"Product B","TV Cable","Syracuse","Tier 4"
"Product B","TV Cable","Washington, DC","Tier 2"
"Product B","TV Spot","Baltimore","Tier 3"
"Product B","TV Spot","Boston","Tier 2"
"Product B","TV Spot","New York","Tier 1"
"Product B","TV Spot","Norfolk","Tier 3"
"Product B","TV Spot","Palm Springs","Tier 4"
"Product B","TV Spot","Philadelphia","Tier 1"
"Product B","TV Spot","Pittsburgh","Tier 3"
"Product B","TV Spot","Providence","Tier 3"
"Product B","TV Spot","Richmond","Tier 3"
"Product B","TV Spot","Syracuse","Tier 4"
"Product B","TV Spot","Tampa","Tier 2"
"Product B","TV Spot","Washington, DC","Tier 2"
