sales1_name,chan2_name,chan1_name,dma1_name,all_name,spend,decomp,max,cps,hl,hrf,wks
Freedom Card - New Applications,Paid Search,Multicard,National,overall,198879.3408,7982.840683,169802,1.957298839,0.3,0.6,1
Freedom Card - New Applications,Paid Search,Consumer,National,overall,188661.4583,1663.972242,595901,0.593806978,0.6,0.3,1
Freedom Card - New Applications,Magazine,Freedom,National,overall,11090.29167,206.5986494,5249405,0.039609181,2,0.6,1
Freedom Card - New Applications,Television,Consumer,National,overall,1261701.504,1508.737113,2453696.3,1,3,0.45,1
Freedom Card - New Applications,Television,Freedom,National,overall,636601.4494,4842.589011,43.1829042,53817.61961,3,0.6,1
Freedom Card - New Applications,Television,Sapphire,National,overall,655473.1438,1468.386498,16.04106108,155062.4744,3,0.6,1
Freedom Card - New Applications,Online Display,Freedom,National,overall,78379.72854,1032.935079,80454855,0.008120951,0.01,0.3,1
Freedom Card - New Applications,Online Video,Freedom,National,overall,98446.13958,1125.270093,29198871,0.014754522,0.6,0.3,1
Freedom Card - New Applications,Direct Mail,Freedom,National,overall,1573462.217,10769.61992,14162618,0.438161596,0.6,0.45,1
Freedom Card - New Applications,Direct Mail,Consumer,National,overall,1567480.208,1094.518055,14309581,0.563948789,0.3,0.05,1
Ink Card - New Applications,Television,Ink,National,overall,424056.6208,641.5414841,11.85065332,137406.6177,1,0.6,1
Ink Card - New Applications,Online Display,Ink,National,overall,163116.1263,1246.144089,96358722,0.003943428,0.3,0.6,1
Ink Card - New Applications,Paid Search,Ink,National,overall,27995.78813,283.7659423,8471,7.317207445,3,0.15,1
Ink Card - New Applications,Paid Search,Multicard,National,overall,198879.3408,248.1982435,169802,1.957298839,0.01,0.3,1
Ink Card - New Applications,Direct Mail,Ink,National,overall,265608.3383,808.3123597,3829127,0.683361067,2,0.15,1
Slate Card - New Applications,Television,Freedom,National,overall,636601.4494,982.7142624,43.1829042,53817.61961,5,0.15,1
Slate Card - New Applications,Online Display,Sapphire,National,overall,105122.1873,166.648619,226727548,0.004731433,0.3,0.05,1
Slate Card - New Applications,Paid Search,Multicard,National,overall,198879.3408,5247.436367,169802,1.957298839,0.01,0.15,1
Slate Card - New Applications,Direct Mail,Slate,National,overall,1730479.326,5122.048042,18074490,0.328408769,0.01,0.05,1
Sapphire Card - New Applications,Newspaper,Partner,National,overall,34139.28708,28.98571061,69560766,0.007263246,0.1,0.15,1
Sapphire Card - New Applications,Paid Search,Multicard,National,overall,198879.3408,2716.432546,169802,1.957298839,0.01,0.3,1
Sapphire Card - New Applications,Television,Freedom,National,overall,636601.4494,643.4411636,43.1829042,53817.61961,4,0.15,1
Sapphire Card - New Applications,Direct Mail,Sapphire,National,overall,525861.9437,1070.797062,3473887,0.963898147,3,0.45,1
Sapphire Card - New Applications,Television,Sapphire,National,overall,655473.1438,781.0090072,16.04106108,155062.4744,5,0.3,1
Sapphire Card - New Applications,Online Video,Sapphire,National,overall,253301.1617,522.4651825,37820152,0.019784837,0.3,0.3,1
Sapphire Card - New Applications,Paid Search,Partner,National,overall,73581.60333,307.6284415,68065,1.804663089,0.6,0.15,1
Sapphire Card - New Applications,Magazine,Sapphire,National,overall,102894.2042,321.3213922,9527768,0.079665759,1,0.15,1
Sapphire Card - New Applications,Online Display,Sapphire,National,overall,105122.1873,224.0850662,226727548,0.004731433,0.3,0.3,1
Business Checking - New Checking Accounts,Online Display,Business,National,overall,90933.07125,265.248626,47807739,0.005352086,0.6,0.3,1
Business Checking - New Checking Accounts,Online Video,Business,National,overall,49997.51375,188.8753485,7018490,0.019931938,0.3,0.15,1
Business Checking - New Checking Accounts,Television,Ink,National,overall,424056.6208,147.7315995,11.85065332,137406.6177,2,0.15,1
Business Checking - New Checking Accounts,Online Display,Ink,National,overall,163116.1263,143.8125599,96358722,0.003943428,1,0.05,1
Business Checking - New Checking Accounts,Radio,Business,National,overall,137755.799,177.5345941,1730.6,267.8666828,0.3,0.05,1
Business Checking - New Checking Accounts,Newspaper,Business,National,overall,12140.04104,55.20660125,1663846,0.043741177,0.3,0.15,1
Business Checking - New Checking Accounts,Paid Search,Consumer,National,overall,188661.4583,166.5211958,595901,0.593806978,3,0.1,1
Business Checking - New Checking Accounts,Television,Consumer,National,overall,1261701.504,176.7829666,2453696.3,1,3,0.05,1
Business Checking - New Checking Accounts,Direct Mail,Consumer,National,overall,1567480.208,560.6272875,14309581,0.563948789,4,0.35,1
Consumer Checking - New Checking Accounts,Television,Card Total,National,overall,1955902.756,1699,9035219.5,1,1,0.15,1
Consumer Checking - New Checking Accounts,Television,Retail Total,National,overall,1261701.504,2081.947387,2453696.3,1,3,0.45,1
Consumer Checking - New Checking Accounts,Radio,Consumer,National,overall,93149.34917,191.6903116,6382.2,66.46295116,0.6,0.45,1
Consumer Checking - New Checking Accounts,Online Video,Retail Total,National,overall,185947.9569,237.4003724,56460321,0.008429469,0.3,0.45,1
Consumer Checking - New Checking Accounts,Paid Search,Retail Total,National,overall,195081.0631,1423.744194,597455,0.611073376,0.6,0.6,1
Consumer Checking - New Checking Accounts,Newspaper,Retail Total,National,overall,32026.04396,116.0737065,4414801,0.032050917,0.3,0.6,1
Consumer Checking - New Checking Accounts,Newspaper,Card Total,National,overall,39722.6275,296.4125504,69560766,0.008232192,0.3,0.45,1
Consumer Checking - New Checking Accounts,Magazine,Retail Total,National,overall,27241.04104,140.4890048,2086763,0.119977895,0.6,0.6,1
Consumer Checking - New Checking Accounts,Magazine,Card Total,National,overall,234965.5279,532.323017,22180543,0.074073514,0.3,0.45,1
Consumer Checking - New Checking Accounts,Outdoor,Retail Total,National,overall,4107.916667,2.006655409,293100,0.134547936,0.6,0.45,1
Consumer Checking - New Checking Accounts,Direct Mail,Consumer,National,overall,1567480.208,8448.932413,14309581,0.563948789,2,0.15,1
Consumer Savings - New Savings Accounts,Television,Retail Total,National,overall,1261701.504,1366.891258,2453696.3,1,4,0.3,1
Consumer Savings - New Savings Accounts,Television,Card Total,National,overall,1955902.756,1797.321218,9035219.5,1,2,0.45,1
Consumer Savings - New Savings Accounts,Radio,Consumer,National,overall,93149.34917,59.39246287,6382.2,66.46295116,0.6,0.45,1
Consumer Savings - New Savings Accounts,Online Display,Retail Total,National,overall,178465.2813,954.5062896,73974291,0.004165412,1,0.6,1
Consumer Savings - New Savings Accounts,Online Video,Retail Total,National,overall,185947.9569,651.9362506,56460321,0.008429469,0.3,0.3,1
Consumer Savings - New Savings Accounts,Paid Search,Retail Total,National,overall,195081.0631,249.3656947,597455,0.611073376,0.6,0.45,1
Consumer Savings - New Savings Accounts,Newspaper,Retail Total,National,overall,32026.04396,74.34036086,4414801,0.032050917,0.6,0.6,1
Consumer Savings - New Savings Accounts,Newspaper,Corporate Total,National,overall,8141.112292,36.15227935,418422,0.206318915,0.6,0.15,1
Consumer Savings - New Savings Accounts,Trade Magazine,Retail Total,National,overall,29.375,3.180436493,1410,1,0.6,0.6,1
Consumer Savings - New Savings Accounts,Outdoor,Retail Total,National,overall,4107.916667,0.653472729,293100,0.134547936,0.6,0.3,1
Consumer Savings - New Savings Accounts,Direct Mail,Consumer,National,overall,1567480.208,3698.053409,14309581,0.563948789,1,0.3,1
Consumer Checking - Total Balances,Television,Retail Total,National,overall,1293105.356,10675622.14,2514374.4,1,4,0.45,1
Consumer Checking - Total Balances,Paid Search,Retail Total,National,overall,195081.0631,2674538.17,597455,0.611073376,0.6,0.15,1
Consumer Checking - Total Balances,Magazine,Retail Total,National,overall,27241.04104,417219.0841,2086763,0.119977895,0.6,0.45,1
Consumer Checking - Total Balances,Online Video,Retail Total,National,overall,185947.9569,3583410.164,56460321,0.008429469,0.3,0.15,1
Consumer Checking - Total Balances,Online Display,Retail Total,National,overall,178465.2813,3819934.726,73974291,0.004165412,0.3,0.3,1
Consumer Checking - Total Balances,Direct Mail,Consumer,National,overall,1567480.208,13080179.07,14309581,0.563948789,3,0.15,1
Consumer Savings - Total Balances,Radio,Consumer,National,overall,93149.34917,80334.00095,6382.2,66.46295116,0.3,0.45,1
Consumer Savings - Total Balances,Outdoor,Retail Total,National,overall,4107.916667,5110.093563,293100,0.134547936,0.6,0.15,1
Consumer Savings - Total Balances,Newspaper,Retail Total,National,overall,32026.04396,272413.0345,4414801,0.032050917,0.3,0.45,1
Consumer Savings - Total Balances,Paid Search,Retail Total,National,overall,195081.0631,10869168.11,597455,0.611073376,0.6,0.3,1
Consumer Savings - Total Balances,Television,Retail Total,National,overall,1293105.356,13847336.13,2514374.4,1,4,0.15,1
Consumer Savings - Total Balances,Online Video,Retail Total,National,overall,185947.9569,9317897.606,56460321,0.008429469,0.3,0.3,1
Consumer Savings - Total Balances,Online Display,Retail Total,National,overall,178465.2813,7957344.424,73974291,0.004165412,0.3,0.3,1
Consumer Savings - Total Balances,Magazine,Retail Total,National,overall,27241.04104,3017251.263,2086763,0.119977895,2,0.45,1
Consumer Savings - Total Balances,Direct Mail,Consumer,National,overall,1567480.208,85933797.16,14309581,0.563948789,3,0.45,1
Freedom Card - New Applications,Affiliates,Freedom,National,overall,197679.2917,8689.892292,80089,4.554955766,0.01,0.45,1
Ink Card - New Applications,Affiliates,Ink,National,overall,27171.54167,1368.376213,56262,1.72612936,0.01,0.15,1
Slate Card - New Applications,Affiliates,Slate,National,overall,65456.875,8586.012053,34434,2.326009916,5,0.45,1
Sapphire Card - New Applications,Affiliates,Sapphire,National,overall,37681.54167,3305.297433,30059,1.611003585,0.6,0.45,1
Slate Card - New Applications,Paid Search,Partner,National,overall,73581.60333,445.6078612,68065,1.804663089,3,0.15,1
Slate Card - New Applications,Online Display,Freedom,National,overall,78379.72854,211.9008971,80454855,0.008120951,0.6,0.3,1
Consumer Checking - New Checking Accounts,Online Display,Retail Total,National,overall,178465.2813,1051.316982,73974291,0.004165412,0.3,0.6,1
